Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Amazon_search_03,Chrome 120.0.0.0,,,26-01-2024 14:10:01,26-01-2024 14:10:50,48.428s,PASSED
,,,,,,,
Test Cases/TC_Amazon_Serach_03,Chrome 120.0.0.0,,,26-01-2024 14:10:02,26-01-2024 14:10:50,48.214s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,26-01-2024 14:10:02,26-01-2024 14:10:04,2.030s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,26-01-2024 14:10:04,26-01-2024 14:10:07,3.138s,PASSED
"click(findTestObject(""Object Repository/Amazon_Serach_OR_03/Page_Amazon.com. Spend less. Smile more/span_Hello, sign in""))",Chrome 120.0.0.0,,,26-01-2024 14:10:07,26-01-2024 14:10:23,15.575s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Serach_OR_03/Page_Amazon Sign-In/input_email""), ""tejasreesanapathi06@gmail.com"")",Chrome 120.0.0.0,,,26-01-2024 14:10:23,26-01-2024 14:10:24,1.165s,PASSED
"click(findTestObject(""Object Repository/Amazon_Serach_OR_03/Page_Amazon Sign-In/inputcontinue""))",Chrome 120.0.0.0,,,26-01-2024 14:10:24,26-01-2024 14:10:28,4.411s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_Serach_OR_03/Page_Amazon Sign-In/input_password""), ""TrInCDu1Asc="")",Chrome 120.0.0.0,,,26-01-2024 14:10:28,26-01-2024 14:10:29,0.533s,PASSED
"click(findTestObject(""Object Repository/Amazon_Serach_OR_03/Page_Amazon Sign-In/inputsignInSubmit""))",Chrome 120.0.0.0,,,26-01-2024 14:10:29,26-01-2024 14:10:29,0.440s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Serach_OR_03/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), Book)",Chrome 120.0.0.0,,,26-01-2024 14:10:29,26-01-2024 14:10:43,13.871s,PASSED
"click(findTestObject(""Object Repository/Amazon_Serach_OR_03/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 120.0.0.0,,,26-01-2024 14:10:43,26-01-2024 14:10:50,6.414s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,26-01-2024 14:10:50,26-01-2024 14:10:50,0.221s,PASSED
